Session,Chapitre_BABOK,Titre_Session,Activité,Type_Exercice,Points_XP,Difficulté,Technique_BABOK
1,Ch.1&2,Les Fondamentaux,Quiz BA Identity,Quiz,20,Facile,Quiz général
1,Ch.1&2,Les Fondamentaux,6 Concepts BACCM,Drag&Drop,25,Moyen,6 concepts BACCM
1,Ch.1&2,Les Fondamentaux,SWOT Analysis,Matrice Interactive,30,Moyen,10.46 SWOT
1,Ch.1&2,Les Fondamentaux,Concept Modelling,Puzzle Conceptuel,35,Difficile,10.11 Concept Modelling
1,Ch.1&2,Les Fondamentaux,Collaborative Games,Simulation Atelier,40,Difficile,10.10 Collaborative Games
1,Ch.1&2,Les Fondamentaux,Data Mining,Analyse de Données,35,Difficile,10.14 Data Mining
1,Ch.1&2,Les Fondamentaux,Business Rules Analysis,Éditeur de Règles,30,Moyen,10.9 Business Rules
2,Ch.3,Planification & Monitoring,Plan BA Approach,Tableau Interactif,25,Moyen,Tâche 3.1
2,Ch.3,Planification & Monitoring,Matrice Stakeholders,Matrice Classification,30,Moyen,Tâche 3.2
2,Ch.3,Planification & Monitoring,Gouvernance BA,Drag&Drop,35,Difficile,Tâche 3.3
2,Ch.3,Planification & Monitoring,Gestion Information,Interface Stockage,30,Moyen,Tâche 3.4
2,Ch.3,Planification & Monitoring,Performance KPIs,Calculatrice KPI,40,Difficile,Tâche 3.5
3,Ch.6,Analyse Stratégique,Current State Analysis,Formulaire Évaluation,35,Moyen,Tâche 6.1
3,Ch.6,Analyse Stratégique,Future State Definition,Vision Board,40,Difficile,Tâche 6.2
3,Ch.6,Analyse Stratégique,Risk Assessment,Matrice Risques,45,Difficile,Tâche 6.3
3,Ch.6,Analyse Stratégique,Change Strategy,Comparateur,40,Difficile,Tâche 6.4
3,Ch.6,Analyse Stratégique,Business Capability,Analyse Capacités,35,Moyen,10.6 Business Capability
4,Ch.4,Élicitation & Collaboration,Mind Mapping,Outil Cartes Mentales,30,Moyen,Préparation
4,Ch.4,Élicitation & Collaboration,Interview Simulation,Simulation Conversation,35,Moyen,Conduite
4,Ch.4,Élicitation & Collaboration,Document Analysis,Lecteur Annoté,30,Facile,Confirmation
4,Ch.4,Élicitation & Collaboration,Jeu de Rôle,Chat Interactif,40,Difficile,Collaboration
4,Ch.4,Élicitation & Collaboration,Validation Results,Check-list,25,Facile,Validation
4,Ch.4,Élicitation & Collaboration,Feedback Techniques,Évaluateur,35,Moyen,Amélioration
5,Ch.5,Gestion Cycle de Vie,Traçabilité Exigences,Diagramme Liens,30,Moyen,Tâche 5.1
5,Ch.5,Gestion Cycle de Vie,User Stories Editor,Éditeur Templates,40,Difficile,Tâche 5.2
5,Ch.5,Gestion Cycle de Vie,Priorisation MoSCoW,Interface Priorisation,35,Moyen,Tâche 5.3
5,Ch.5,Gestion Cycle de Vie,Backlog Management,Kanban Board,45,Difficile,Tâche 5.4
5,Ch.5,Gestion Cycle de Vie,Workflow Approbation,Processus Étapes,30,Moyen,Tâche 5.5
6,Ch.7,Analyse & Design,Process Modelling,Éditeur BPMN,45,Difficile,Tâche 7.1
6,Ch.7,Analyse & Design,Requirements Verification,Check-list Qualité,35,Moyen,Tâche 7.2
6,Ch.7,Analyse & Design,Validation Testing,Tests Interactifs,40,Difficile,Tâche 7.3
6,Ch.7,Analyse & Design,Architecture Puzzle,Assemblage Composants,50,Expert,Tâche 7.4
6,Ch.7,Analyse & Design,Design Options,Comparateur Solutions,45,Difficile,Tâche 7.5
6,Ch.7,Analyse & Design,Financial Analysis,Calculateur ROI,55,Expert,Tâche 7.6
7,Ch.8,Évaluation Solution,Performance Dashboard,Dashboard Temps Réel,40,Difficile,Tâche 8.1
7,Ch.8,Évaluation Solution,Vendor Assessment,Grille Comparative,45,Difficile,Tâche 8.2
7,Ch.8,Évaluation Solution,Use Cases Editor,Éditeur Cas Usage,50,Expert,Tâche 8.3
7,Ch.8,Évaluation Solution,RACI Matrix,Matrice Permissions,40,Difficile,Tâche 8.4
7,Ch.8,Évaluation Solution,Lessons Learned,Journal Structuré,35,Moyen,Tâche 8.5
